t,frame,pos_x,pos_y,pos_z,orient_x,orient_y,orient_z
2.906629,173,-11.133,-269.324,-102.549,-0.000665,-0.079923,-0.085359
2.923431,174,-11.457,-274.452,-98.752,-0.004116,-0.078053,-0.034578
2.940232,175,-11.048,-274.283,-98.184,0.002424,-0.073112,-0.077918
2.957033,176,-8.501,-272.896,-103.979,0.04269,-0.054696,-0.081961
2.973834,177,-9.831,-277.624,-97.077,0.026751,-0.067612,-0.068171
2.990634,178,-11.092,-279.452,-96.92,0.002668,-0.075016,-0.051565
3.007435,179,-11.188,-291.213,-79.27,0.030086,-0.053218,0.034815
3.024236,180,-10.882,-290.348,-79.846,0.036014,-0.05747,0.003734
3.175444,189,-12.546,-279.035,-98.944,-0.00827,-0.076654,-0.077853
3.192245,190,-12.718,-317.995,-96.464,0.041821,-0.081394,0.672754
3.209046,191,-10.394,-272.052,-109.49,0.034888,-0.067978,-0.113036
3.225847,192,-10.16,-275.454,-101.767,0.052106,-0.05274,-0.079912
3.242647,193,-10.916,-275.102,-100.891,0.039386,-0.058667,-0.07263
3.259449,194,-13.179,-277.322,-95.942,0.003758,-0.072862,-0.036374
3.276249,195,-13.43,-279.072,-95.093,0.003753,-0.078299,0.02029
3.29305,196,-13.887,-276.411,-95.635,-0.007362,-0.072917,-0.001773
3.309851,197,-13.788,-274.961,-94.176,-0.004125,-0.073956,-0.015464
3.326652,198,-13.841,-273.525,-97.022,-0.007095,-0.077402,0.007977
3.343453,199,-14.153,-281.859,-80.774,0.016001,-0.056469,0.087618
3.360253,200,-13.208,-276.226,-86.521,0.032695,-0.040248,0.047142
3.377054,201,-11.159,-273.404,-88.966,0.072,-0.040863,0.035701
3.393855,202,-13.136,-273.12,-87.234,0.033298,-0.038958,0.052285
3.410656,203,-11.337,-270.549,-88.448,0.068916,-0.040811,0.03844
3.427457,204,-13.356,-268.685,-86.89,0.026593,-0.035893,0.028151
3.444258,205,-11.0,-266.443,-88.266,0.073459,-0.037159,0.020194
3.461059,206,-12.908,-271.803,-79.451,0.041501,-0.051769,0.108454
3.477859,207,-12.737,-271.693,-79.355,0.047223,-0.052823,0.144455
3.49466,208,-12.392,-286.539,-84.111,0.068328,-0.06343,0.492936
3.511461,209,-12.988,-265.799,-77.591,0.041691,-0.055286,0.086495
3.528262,210,-12.131,-262.645,-78.716,0.055914,-0.051258,0.07293
3.545063,211,-13.406,-249.06,-95.777,-0.002158,-0.070087,-0.041909
3.561864,212,-13.175,-244.434,-98.564,-0.006418,-0.053481,-0.06729
3.578665,213,-11.11,-242.265,-99.192,0.036838,-0.054423,-0.060373
3.595465,214,-10.325,-238.061,-100.526,0.048352,-0.050025,-0.092038
3.612266,215,-13.515,-241.357,-89.083,-0.009903,-0.066307,-0.040789
3.629067,216,-11.743,-249.506,-76.595,0.04585,-0.053684,0.097189
3.645868,217,-13.387,-265.343,-92.038,0.015267,-0.047887,0.557771
3.662669,218,-10.305,-230.959,-94.336,0.032776,-0.049564,-0.060796
3.679469,219,-11.112,-236.646,-83.153,0.024316,-0.062678,0.046568
3.69627,220,-10.031,-220.384,-101.23,0.009243,-0.052163,-0.12434
3.713071,221,-9.397,-222.594,-94.545,0.029228,-0.049424,-0.061434
3.729872,222,-8.38,-220.003,-91.731,0.050253,-0.045903,-0.085401
3.746673,223,-10.398,-216.687,-90.134,-0.003575,-0.037712,-0.086446
3.763474,224,-11.758,-218.403,-82.806,-0.015944,-0.055095,-0.043528
3.780274,225,-10.133,-215.919,-83.239,0.017488,-0.054705,-0.034558
3.797076,226,-9.307,-212.081,-84.946,0.031509,-0.056332,-0.045557
3.830677,227,-12.579,-204.8,-81.063,-0.031856,-0.058516,-0.086975
3.847478,228,-9.837,-200.94,-84.297,0.018137,-0.055512,-0.096891
3.864279,229,-11.079,-199.753,-83.694,-0.004248,-0.062358,-0.058559
3.881079,230,-11.581,-225.922,-76.652,0.027361,-0.044957,0.489782
3.89788,231,-11.052,-219.654,-69.321,0.039695,-0.043359,0.387906
3.914681,232,-14.096,-218.378,-73.625,-0.023471,-0.042859,0.446067
3.931482,233,-10.22,-183.681,-86.928,0.003941,-0.055705,-0.133561
3.948282,234,-10.383,-178.195,-88.514,-0.004537,-0.051741,-0.185096
3.965083,235,-10.158,-177.621,-86.49,0.004384,-0.054471,-0.148954
3.981883,236,-14.149,-205.2,-75.506,-0.026212,-0.043237,0.42916
3.998684,237,-13.826,-205.302,-76.865,-0.018894,-0.043347,0.487752
